Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,265,BK75,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
152 WEST 140TH STREET,Multifamily Incentives Program,Manhattan,10030.0,9.0,230,MN03,New Construction,Non Prevailing Wage,0,0,0,18,0,18,58
48 JEFFERSON STREET,Multifamily Incentives Program,Brooklyn,11206.0,34.0,391,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
LESPMHA HDFC,Multifamily Incentives Program,Manhattan,10009.0,2.0,32,MN22,Preservation,Non Prevailing Wage,0,2,3,5,0,5,5
CITILEAF HDFC,Multifamily Finance Program,Manhattan,10010.0,2.0,68,MN21,Preservation,Non Prevailing Wage,45,4,1,50,0,50,50
1051 NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11203.0,45.0,856,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
CEDAR MANOR MUTUAL HOUSING CORP.HRP.FY18,Multifamily Finance Program,Queens,11434.0,28.0,278,QN76,Preservation,Non Prevailing Wage,5,66,0,0,72,72,72
L&M HCCI 260 W 153RD STREET,Multifamily Finance Program,Manhattan,10039.0,9.0,236,MN03,New Construction,Non Prevailing Wage,8,42,0,51,0,51,51
EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,Multifamily Finance Program,Manhattan,10035.0,9.0,182,MN34,Preservation,Non Prevailing Wage,15,2,3,24,0,24,24
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,18,185,0,185,185
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10027.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,0,23,24,0,24,24
LANGSAM 15 - 396-400 EAST 199TH STREET.HPO.FY19,Multifamily Finance Program,Bronx,10458.0,15.0,40702,BX05,Preservation,Non Prevailing Wage,0,7,23,30,0,30,30
1626 & 1630 BROOKLYN AVENUE,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
West Farms/Longfellow Ave,Multifamily Finance Program,Bronx,10460.0,17.0,359,BX17,New Construction,Non Prevailing Wage,6,8,14,28,0,28,28
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,Queens,11434.0,27.0,368,QN08,Preservation,Non Prevailing Wage,0,0,0,0,1,1,1
NEWSTART REALTY HDFC.HPO.FY17,Multifamily Finance Program,Bronx,10468.0,14.0,263,BX30,Preservation,Non Prevailing Wage,1,5,20,27,0,27,27
Edgecombe Preservation Reyndication (Phase),Multifamily Finance Program,Manhattan,10039.0,9.0,227,MN04,Preservation,Non Prevailing Wage,0,0,7,7,0,7,7
Bay Park I Apartments (20140285),Multifamily Incentives Program,Brooklyn,11224.0,47.0,330,BK21,Preservation,Non Prevailing Wage,0,0,127,128,0,128,128
ENDACOFE REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10452.0,14.0,223,BX63,Preservation,Non Prevailing Wage,2,11,40,54,0,54,54
9306 Shore Front Parkway,Multifamily Finance Program,Queens,11693.0,32.0,94203,QN12,New Construction,Non Prevailing Wage,0,13,0,64,0,64,64
505 WEST 43RD STREET,Multifamily Incentives Program,Manhattan,10036.0,3.0,129,MN15,New Construction,Non Prevailing Wage,0,0,9,0,9,9,123
KNICKERBOCKER VILLAGE,Multifamily Incentives Program,Manhattan,10002.0,1.0,8,MN27,Preservation,Non Prevailing Wage,0,0,93,132,0,132,132
BOERUM RESIDENCE LLC,Multifamily Incentives Program,Brooklyn,11206.0,34.0,505,BK90,New Construction,Non Prevailing Wage,0,0,0,2,0,2,2
Vannguard,Multifamily Finance Program,Brooklyn,11233.0,36.0,381,BK61,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,164,43,0,207,207,207
REBIRTH REALTY CORP HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10458.0,15.0,23702,BX05,Preservation,Non Prevailing Wage,0,3,5,8,0,8,8
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,46202,BX13,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
Lincoln Place,Multifamily Finance Program,Brooklyn,11238.0,35.0,217,BK61,Preservation,Non Prevailing Wage,0,0,17,17,0,17,17
306 STOCKHOLM STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11237.0,37.0,443,BK77,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
DREAMYARD NEP HDFC.YR15.FY2017,Multifamily Finance Program,Bronx,10453.0,14.0,243,BX36,Preservation,Non Prevailing Wage,2,7,2,11,0,11,11
New Settlement Apartments,Multifamily Finance Program,Bronx,10452.0,16.0,223,BX63,Preservation,Non Prevailing Wage,1,26,32,59,0,59,59
89 BARTLETT STREET,Multifamily Incentives Program,Brooklyn,11206.0,33.0,507,BK75,New Construction,Non Prevailing Wage,0,0,16,16,0,16,64
DON L.W. RESYNDICATION,Multifamily Finance Program,Bronx,10457.0,17.0,163,BX99,Preservation,Non Prevailing Wage,0,0,25,25,0,25,25
346 Bergen Street,Small Homes Program,Brooklyn,11217.0,33.0,127,BK38,New Construction,Non Prevailing Wage,0,0,0,24,0,24,24
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1128,BK85,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
